SRF 1 FHD	udp://@233.50.230.1:5000
SRF zwei FHD	udp://@233.50.230.2:5000
SRF info FHD	udp://@233.50.230.3:5000
RTS 1 FHD	udp://@233.50.230.84:5000
RTS 2 FHD	udp://@233.50.230.85:5000
RSI LA 1 FHD	udp://@233.50.230.118:5000
RSI LA 2 FHD	udp://@233.50.230.119:5000
SRF 1	udp://@233.50.230.80:5000
SRF zwei	udp://@233.50.230.212:5000
SRF info	udp://@233.50.230.226:5000
TV 24	udp://@233.50.230.4:5000
3+ HD	udp://@233.50.230.5:5000
Das Erste	udp://@233.50.230.6:5000
ZDF	udp://@233.50.230.7:5000
RTL (Schweiz)	udp://@233.50.230.8:5000
SAT.1 (Schweiz)	udp://@233.50.230.9:5000
ProSieben (Schweiz)	udp://@233.50.230.10:5000
ORF 1	udp://@233.50.230.11:5000
ORF 2	udp://@233.50.230.12:5000
3Sat	udp://@233.50.230.13:5000
arte D	udp://@233.50.230.14:5000
TV 25	udp://@233.50.230.15:5000
4+ HD	udp://@233.50.230.16:5000
5+	udp://@233.50.230.17:5000
6+	udp://@233.50.230.18:5000
S1	udp://@233.50.230.19:5000
SWISS 1	udp://@233.50.230.20:5000
Puls 8	udp://@233.50.230.21:5000
RTLZWEI (Schweiz)	udp://@233.50.230.22:5000
Kabel Eins (Schweiz)	udp://@233.50.230.23:5000
VOX (Schweiz)	udp://@233.50.230.24:5000
ONE	udp://@233.50.230.25:5000
ZDFneo	udp://@233.50.230.26:5000
NITRO	udp://@233.50.230.27:5000
ProSieben MAXX	udp://@233.50.230.28:5000
SAT.1 GOLD	udp://@233.50.230.29:5000
Sixx	udp://@233.50.230.30:5000
RTL up	udp://@233.50.230.93:5000
Servus TV	udp://@233.50.230.31:5000
TeleZüri	udp://@233.50.230.32:5000
Tele Bärn	udp://@233.50.230.33:5000
Telebasel	udp://@233.50.230.34:5000
Tele M1	udp://@233.50.230.35:5000
Tele Top	udp://@233.50.230.36:5000
TVO	udp://@233.50.230.37:5000
Tele Z	udp://@233.50.230.38:5000
Tele 1	udp://@233.50.230.39:5000
TV Südostschweiz	udp://@233.50.230.40:5000
TeleBielingue	udp://@233.50.230.41:5000
ShF	udp://@233.50.230.232:5000
Tele D	udp://@233.50.230.42:5000
Kanal 9	udp://@233.50.230.43:5000
ARD alpha	udp://@233.50.230.44:5000
SWR BW	udp://@233.50.230.45:5000
BR Fernsehen Süd	udp://@233.50.230.46:5000
WDR Fernsehen	udp://@233.50.230.47:5000
NDR FS NDS	udp://@233.50.230.48:5000
MDR Sachsen	udp://@233.50.230.49:5000
rbb Berlin	udp://@233.50.230.50:5000
hr Fernsehen	udp://@233.50.230.51:5000
SR Fernsehen	udp://@233.50.230.52:5000
Radio Bremen TV	udp://@233.50.230.216:5000
ZDFinfo	udp://@233.50.230.53:5000
Phoenix	udp://@233.50.230.54:5000
tagesschau24	udp://@233.50.230.55:5000
